name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse
5464,380.0,,,1.05218,PQ,,0,WOODLAND,WOODLAND,1.0,11.0,11.0,IE,3.1736
5481,110.0,,,1.04817,PQ,,0,WHITEGATE,WHITEGATE,1.0,10.0,10.0,IE,13.5847
5501,110.0,,,1.039,PQ,55071-1,0,WEXFORD,WEXFORD,1.0,9.0,9.0,IE,6.1673
5521,110.0,,,1.04471,PQ,,0,WOLFE TONE,WOLFE TONE,1.0,11.0,11.0,IE,-4.7934
6201,110.0,,,1.05342,PQ,67034-1,0,COOMATAGGART,COOMATAGGART,1.0,5.0,5.0,IE,14.4291
6371,110.0,,,1.05279,PQ,,0,WHITEBANK,WHITEBANK,1.0,11.0,11.0,IE,-7.7386
6931,110.0,,,1.03921,PQ,69335-1,0,WOODHOUSE,WOODHOUSE,1.0,12.0,12.0,IE,9.9202
10210,110.0,,,1.05,PQ,,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,7.8654
10261,110.0,,,1.05,PQ,,0,ARDNA_CAP,ARDNA,1.0,4.0,4.0,IE,7.8654
10422,220.0,,,1.0606,PQ,10470-1,0,LONGPOINT,LONGPOINT,1.0,10.0,10.0,IE,17.885
10619,110.0,,,1.05407,PQ,,0,ARIGNA_T,ARIGNA_T,1.0,1.0,1.0,IE,-0.5984
11260,220.0,,,1.04393,PQ,,0,GLENART,GLENART,1.0,9.0,9.0,IE,2.7504
11261,220.0,,,1.04617,PQ,11262-1,0,W_ARKLOW_OFF,ARKLOW_OFF,1.0,9.0,9.0,IE,2.7161
11310,110.0,,,1.05,PQ,11372-1,0,TOBERTOREEN,TOBERTOREEN,1.0,5.0,5.0,IE,12.2227
11461,110.0,,,1.07361,PQ,,0,ATH_CAP,ATH,1.0,3.0,3.0,IE,7.0873
12111,110.0,,,1.05875,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,14.0864
13219,110.0,,,1.02376,PQ,,0,BLAKE T,BLAKE,1.0,11.0,11.0,IE,-4.3713
13810,110.0,,,1.06436,PQ,,0,BARNAHELYB,BARNAHELYB,1.0,10.0,10.0,IE,12.837
